id,age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
19956,23,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
9864,43,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
27689,49,Self-emp-not-inc,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
32524,33,Private,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
11365,22,Private,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,25,United-States,<=50K
294,45,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,2002,55,United-States,<=50K
16231,39,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
18503,57,Private,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,Cuba,<=50K
11919,66,Private,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,Canada,<=50K
31773,41,Federal-gov,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
22139,40,Local-gov,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
20813,27,Private,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,99,United-States,<=50K
19355,32,Private,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
29277,68,,6,Married-civ-spouse,,Husband,White,Male,0,0,35,United-States,<=50K
14089,30,,3,Married-civ-spouse,,Husband,White,Male,0,0,40,Mexico,<=50K
20498,73,Local-gov,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,6,United-States,<=50K
27340,51,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,70,United-States,>50K
10128,47,Federal-gov,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
6253,41,Private,7,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Guatemala,<=50K
7687,54,State-gov,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,38,United-States,<=50K
32458,61,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
20631,35,State-gov,12,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
18705,53,Federal-gov,13,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,50,United-States,>50K
24431,43,Private,3,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,Mexico,<=50K
31991,32,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,>50K
18139,48,Private,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
22556,38,Private,10,Divorced,Exec-managerial,Own-child,Black,Female,0,0,40,United-States,<=50K
6387,52,Private,9,Divorced,Craft-repair,Unmarried,White,Female,0,0,50,United-States,<=50K
28904,21,Private,10,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
21386,66,Self-emp-inc,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
31470,39,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
13316,29,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
28252,36,Private,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,50,United-States,<=50K
11448,27,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
22317,27,Private,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Hong,>50K
18768,42,Self-emp-not-inc,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,56,United-States,>50K
29633,40,Private,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,20,United-States,<=50K
19288,36,Self-emp-not-inc,9,Separated,Other-service,Not-in-family,White,Female,0,0,16,United-States,<=50K
24333,45,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K
14479,23,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
3900,26,State-gov,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,2463,0,50,India,<=50K
18701,34,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
5097,56,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
2749,51,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States,>50K
30287,23,Private,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
28345,38,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
2180,31,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,14084,0,50,United-States,>50K
16986,28,Private,12,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
2390,60,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
9252,52,State-gov,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,England,<=50K
14467,35,Private,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
30016,51,Federal-gov,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
5054,40,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
18108,26,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
12501,19,Private,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K
16938,37,Private,9,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,60,Philippines,<=50K
20154,39,State-gov,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
16847,35,Federal-gov,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,<=50K
22115,23,Federal-gov,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,25,United-States,<=50K
12814,37,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,>50K
15270,41,Federal-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
25781,23,Private,10,Separated,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
3790,31,Private,9,Never-married,Farming-fishing,Not-in-family,White,Male,2907,0,99,United-States,<=50K
10065,58,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,20,United-States,>50K
23115,37,Federal-gov,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K
31427,74,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,20,United-States,>50K
19780,22,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
29041,57,Private,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan,>50K
16463,20,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
25091,71,Private,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
1750,67,,16,Married-civ-spouse,,Husband,White,Male,20051,0,5,United-States,>50K
11383,28,,12,Never-married,,Other-relative,White,Male,0,0,40,United-States,<=50K
9430,56,Private,13,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
18051,32,Private,10,Divorced,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States,<=50K
28475,60,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,70,Germany,>50K
10330,38,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
21681,23,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,80,United-States,<=50K
30589,18,Private,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,20,United-States,<=50K
14290,64,Self-emp-not-inc,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,United-States,<=50K
11213,60,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,United-States,>50K
22632,59,Private,4,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
31626,23,Private,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
18783,59,Self-emp-not-inc,9,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,20,England,<=50K
19223,21,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
4104,36,Private,13,Divorced,Prof-specialty,Unmarried,White,Female,1506,0,45,,<=50K
